model_a,model_b,denoise_index,count,v_t_l2_mean,v_t_l2_std,v_t_cosine_mean,v_t_cosine_std,x_t_l2_mean,x_t_l2_std,hidden_cosine_mean,hidden_cosine_std
ours_v1_corner_12k,uniform_corner_12k,1,10,10.005390071868897,1.079315947584199,0.8906430780887604,0.022732879636859594,0.9721189916133881,0.10469318310999526,0.9276964902877808,0.008489917307955666
ours_v1_corner_12k,uniform_corner_12k,2,10,10.287750291824342,1.135252540830672,0.8858076512813569,0.02425834036324877,1.9702043771743774,0.21262523768779443,0.9228150308132171,0.00936142492914843
ours_v1_corner_12k,uniform_corner_12k,3,10,10.624036598205567,1.145355124185192,0.8792734205722809,0.025300130113532666,2.9949827909469606,0.3261538132412213,0.9161851823329925,0.010401413187524617
ours_v1_corner_12k,uniform_corner_12k,4,10,10.943660783767701,1.203065332236385,0.8738369703292846,0.02704641251874423,4.049312686920166,0.44022095235860265,0.9091991662979126,0.01156841567915118
ours_v1_corner_12k,uniform_corner_12k,5,10,11.48172607421875,1.2519151440882392,0.8654375851154328,0.02840348423894927,5.131587290763855,0.559735309221144,0.8987552165985108,0.013084644776795941
ours_v1_corner_12k,uniform_corner_12k,6,10,12.147754287719726,1.2761155875102372,0.8557651162147522,0.029182892446803218,6.257445812225342,0.6841199590668867,0.8845986485481262,0.015141350175311959
ours_v1_corner_12k,uniform_corner_12k,7,10,12.853990936279297,1.289957246312884,0.8469448149204254,0.028973038891532816,7.43023452758789,0.8122245924155036,0.8669535875320434,0.01776382021532031
ours_v1_corner_12k,uniform_corner_12k,8,10,13.997589492797852,1.336095118513187,0.8365126609802246,0.027874790057571985,8.641481256484985,0.9433247433478352,0.8412430286407471,0.021855991264555768
ours_v1_corner_12k,uniform_corner_12k,9,10,15.424356269836426,1.4301008554271633,0.8372063279151917,0.02562219541020226,9.889469718933105,1.082329500215755,0.8063648641109467,0.02894694585741197
ours_v1_corner_12k,zero_corner_12k,0,10,8.478356790542602,0.920303807784124,0.9256161510944366,0.01693588395486793,0.0,0.0,0.9364655137062072,0.009176053514897215
ours_v1_corner_12k,zero_corner_12k,1,10,8.70833716392517,0.9953230962713595,0.920574688911438,0.01870696178567154,0.8478356838226319,0.09203042516889295,0.933070033788681,0.01001847736501814
ours_v1_corner_12k,zero_corner_12k,2,10,8.94503927230835,1.0415825279960937,0.9170743346214294,0.019838926290343235,1.7156955242156982,0.19152175055604584,0.9286831319332123,0.010824468745279007
ours_v1_corner_12k,zero_corner_12k,3,10,9.186952590942383,1.1275803378694762,0.9137596666812897,0.02128068600030069,2.605871486663818,0.2957583520352064,0.9239706456661224,0.01167058660741233
ours_v1_corner_12k,zero_corner_12k,4,10,9.523421573638917,1.1998405969092418,0.9091794312000274,0.022678865147797978,3.515793538093567,0.40910813188300826,0.9170459628105163,0.012825225915049638
ours_v1_corner_12k,zero_corner_12k,5,10,10.174797916412354,1.251936360886614,0.8997349202632904,0.02397079225887516,4.456402373313904,0.5293582183435255,0.9080211281776428,0.014259153129351117
ours_v1_corner_12k,zero_corner_12k,6,10,10.969467926025391,1.3432770814748178,0.8885094165802002,0.02576874813146024,5.453936004638672,0.6555970527032214,0.8956543147563935,0.01611574826035299
ours_v1_corner_12k,zero_corner_12k,7,10,11.603373813629151,1.4038946111540853,0.8820859909057617,0.026202283332701675,6.512217712402344,0.7924295630641682,0.8816086113452911,0.0182676646928837
ours_v1_corner_12k,zero_corner_12k,8,10,12.775298976898194,1.5757701062769303,0.8717015087604523,0.027235857339184946,7.608129024505615,0.9323364735507501,0.8614175140857696,0.021727750587591348
ours_v1_corner_12k,zero_corner_12k,9,10,14.752113437652588,1.7714973534761034,0.8698480725288391,0.024405579950503974,8.751991462707519,1.0761712728237305,0.8387625277042389,0.02610843335881775
ours_v2_corner_12k,ours_v3_corner_12k,0,10,8.135496711730957,0.7565793899552633,0.9302808165550231,0.016803081597198597,0.0,0.0,0.939116609096527,0.007345917429179074
ours_v2_corner_12k,ours_v3_corner_12k,1,10,8.21781792640686,0.7724982668340769,0.9277405142784119,0.01722344153875707,0.8135496854782105,0.07565793334476788,0.9371797859668731,0.00748918571964034
ours_v2_corner_12k,ours_v3_corner_12k,2,10,8.498029708862305,0.8064031994198501,0.9239336609840393,0.01790130231946265,1.6325435280799865,0.152741963581074,0.9339687764644623,0.007822588306107311
ours_v2_corner_12k,ours_v3_corner_12k,3,10,8.717028665542603,0.8478081726867923,0.9209172427654266,0.018496105361092485,2.4759690284729006,0.23307172557359634,0.9296499013900756,0.008318254849492583
ours_v2_corner_12k,ours_v3_corner_12k,4,10,9.210667037963868,0.9287220389090285,0.914065819978714,0.020516735455871335,3.3397027492523192,0.3166418024125775,0.9246228456497192,0.008990848281872429
