model_name,layer,denoise_index,count,x_t_norm_mean,x_t_norm_std,v_t_norm_mean,v_t_norm_std,suffix_hidden_norm_mean,suffix_hidden_norm_std
ours_v3_corner_12k,3,8,10,35.762735748291014,0.6097299228808036,26.307751655578613,0.8062612175228115,189.73849182128907,0.004596841833992091
ours_v3_corner_12k,3,9,10,35.36090354919433,0.6300061206570097,31.112361907958984,1.0593200155586129,189.7337631225586,0.005539282796067725
ours_v3_corner_12k,7,0,10,40.152682876586915,0.7227868328816696,22.257175064086915,0.8546674870537438,189.73788757324218,0.0038756711459384677
ours_v3_corner_12k,7,1,10,39.30027732849121,0.7067679894358391,22.088449478149414,0.8476211880524311,189.73369903564452,0.004128431966477029
ours_v3_corner_12k,7,2,10,38.57462615966797,0.6910831929262562,22.276665687561035,0.8399825008035042,189.736083984375,0.0043482301629709005
ours_v3_corner_12k,7,3,10,37.9324649810791,0.67386394860844,22.416286849975585,0.8303547265562182,189.73638153076172,0.005249508014756064
ours_v3_corner_12k,7,4,10,37.373713684082034,0.6559102271439509,22.763319969177246,0.8192137115294136,189.7371383666992,0.004773823543381262
ours_v3_corner_12k,7,5,10,36.89505462646484,0.6379867106925917,22.971002769470214,0.7993423049704373,189.73546905517577,0.00469096001441134
ours_v3_corner_12k,7,6,10,36.47686614990234,0.6218043245359333,23.605428314208986,0.7468961533395795,189.73655700683594,0.005635581263279071
ours_v3_corner_12k,7,7,10,36.10898628234863,0.6104031126794031,24.449401664733887,0.699620206880061,189.73226928710938,0.0034129719312670746
ours_v3_corner_12k,7,8,10,35.762735748291014,0.6097299228808036,26.307751655578613,0.8062612175228115,189.73849182128907,0.004596841833992091
ours_v3_corner_12k,7,9,10,35.36090354919433,0.6300061206570097,31.112361907958984,1.0593200155586129,189.7337631225586,0.005539282796067725
ours_v3_corner_12k,11,0,10,40.152682876586915,0.7227868328816696,22.257175064086915,0.8546674870537438,189.73788757324218,0.0038756711459384677
ours_v3_corner_12k,11,1,10,39.30027732849121,0.7067679894358391,22.088449478149414,0.8476211880524311,189.73369903564452,0.004128431966477029
ours_v3_corner_12k,11,2,10,38.57462615966797,0.6910831929262562,22.276665687561035,0.8399825008035042,189.736083984375,0.0043482301629709005
ours_v3_corner_12k,11,3,10,37.9324649810791,0.67386394860844,22.416286849975585,0.8303547265562182,189.73638153076172,0.005249508014756064
ours_v3_corner_12k,11,4,10,37.373713684082034,0.6559102271439509,22.763319969177246,0.8192137115294136,189.7371383666992,0.004773823543381262
ours_v3_corner_12k,11,5,10,36.89505462646484,0.6379867106925917,22.971002769470214,0.7993423049704373,189.73546905517577,0.00469096001441134
ours_v3_corner_12k,11,6,10,36.47686614990234,0.6218043245359333,23.605428314208986,0.7468961533395795,189.73655700683594,0.005635581263279071
ours_v3_corner_12k,11,7,10,36.10898628234863,0.6104031126794031,24.449401664733887,0.699620206880061,189.73226928710938,0.0034129719312670746
ours_v3_corner_12k,11,8,10,35.762735748291014,0.6097299228808036,26.307751655578613,0.8062612175228115,189.73849182128907,0.004596841833992091
ours_v3_corner_12k,11,9,10,35.36090354919433,0.6300061206570097,31.112361907958984,1.0593200155586129,189.7337631225586,0.005539282796067725
ours_v4_corner_12k,3,0,10,40.152682876586915,0.7227868328816696,23.286795234680177,0.7951513576751673,189.7354934692383,0.003890428988659042
ours_v4_corner_12k,3,1,10,39.30780448913574,0.7069051833478069,23.184464836120604,0.7674487536782453,189.7365524291992,0.0028842506007060145
ours_v4_corner_12k,3,2,10,38.60731544494629,0.6908721883670258,23.282356452941894,0.7322375048109379,189.7358169555664,0.00563630525158833
ours_v4_corner_12k,3,3,10,37.99621505737305,0.6720629378584083,23.52277202606201,0.7076961642659872,189.7377960205078,0.0032038791861852614
ours_v4_corner_12k,3,4,10,37.484231567382814,0.6514043506132312,23.84645023345947,0.6842947499505928,189.7378707885742,0.00730179995440079
ours_v4_corner_12k,3,5,10,37.06352844238281,0.6322215595739213,24.166035461425782,0.6766534307611289,189.73511962890626,0.003291662814745681
ours_v4_corner_12k,3,6,10,36.726823806762695,0.6173843465187809,24.678153800964356,0.6727678006353591,189.73409729003907,0.006204966638060017
ours_v4_corner_12k,3,7,10,36.456423950195315,0.6091691138509707,25.530370140075682,0.7173597550064544,189.73593444824218,0.005163109760723705
ours_v4_corner_12k,3,8,10,36.226042938232425,0.6161615598033037,27.13560733795166,0.8546242343807533,189.73912658691407,0.004432389057858565
ours_v4_corner_12k,3,9,10,35.93935966491699,0.6522367040822483,31.134286308288573,0.8994914723025594,189.7377166748047,0.005208238461743006
ours_v4_corner_12k,7,0,10,40.152682876586915,0.7227868328816696,23.286795234680177,0.7951513576751673,189.7354934692383,0.003890428988659042
ours_v4_corner_12k,7,1,10,39.30780448913574,0.7069051833478069,23.184464836120604,0.7674487536782453,189.7365524291992,0.0028842506007060145
ours_v4_corner_12k,7,2,10,38.60731544494629,0.6908721883670258,23.282356452941894,0.7322375048109379,189.7358169555664,0.00563630525158833
ours_v4_corner_12k,7,3,10,37.99621505737305,0.6720629378584083,23.52277202606201,0.7076961642659872,189.7377960205078,0.0032038791861852614
ours_v4_corner_12k,7,4,10,37.484231567382814,0.6514043506132312,23.84645023345947,0.6842947499505928,189.7378707885742,0.00730179995440079
ours_v4_corner_12k,7,5,10,37.06352844238281,0.6322215595739213,24.166035461425782,0.6766534307611289,189.73511962890626,0.003291662814745681
ours_v4_corner_12k,7,6,10,36.726823806762695,0.6173843465187809,24.678153800964356,0.6727678006353591,189.73409729003907,0.006204966638060017
ours_v4_corner_12k,7,7,10,36.456423950195315,0.6091691138509707,25.530370140075682,0.7173597550064544,189.73593444824218,0.005163109760723705
ours_v4_corner_12k,7,8,10,36.226042938232425,0.6161615598033037,27.13560733795166,0.8546242343807533,189.73912658691407,0.004432389057858565
ours_v4_corner_12k,7,9,10,35.93935966491699,0.6522367040822483,31.134286308288573,0.8994914723025594,189.7377166748047,0.005208238461743006
ours_v4_corner_12k,11,0,10,40.152682876586915,0.7227868328816696,23.286795234680177,0.7951513576751673,189.7354934692383,0.003890428988659042
ours_v4_corner_12k,11,1,10,39.30780448913574,0.7069051833478069,23.184464836120604,0.7674487536782453,189.7365524291992,0.0028842506007060145
ours_v4_corner_12k,11,2,10,38.60731544494629,0.6908721883670258,23.282356452941894,0.7322375048109379,189.7358169555664,0.00563630525158833
ours_v4_corner_12k,11,3,10,37.99621505737305,0.6720629378584083,23.52277202606201,0.7076961642659872,189.7377960205078,0.0032038791861852614
ours_v4_corner_12k,11,4,10,37.484231567382814,0.6514043506132312,23.84645023345947,0.6842947499505928,189.7378707885742,0.00730179995440079
ours_v4_corner_12k,11,5,10,37.06352844238281,0.6322215595739213,24.166035461425782,0.6766534307611289,189.73511962890626,0.003291662814745681
ours_v4_corner_12k,11,6,10,36.726823806762695,0.6173843465187809,24.678153800964356,0.6727678006353591,189.73409729003907,0.006204966638060017
ours_v4_corner_12k,11,7,10,36.456423950195315,0.6091691138509707,25.530370140075682,0.7173597550064544,189.73593444824218,0.005163109760723705
