method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key,recommended
temporal_window,0.01176957492684142,0.0,0.0,0.0070617449561048515,0.55,0.9,0.35,uniform,6384ea691fcc5a8a57d3068c6c23f06b,
temporal_weighted_window,0.011692972621308837,5.087413210881534e-14,0.0,0.007015783572795477,0.1,0.95,0.85,gaussian,54c9c1e3710e0c134a41f0d274305f59,
temporal_multi_window,0.011669149223594123,0.06817743318497363,0.0,0.0206369761711512,0.1,0.7,0.6,uniform,ca17a605e08b303255367806353bc8e2,
temporal_weighted_window,0.011490410724896344,0.0,0.0,0.006894246434937806,0.35,0.45,0.10000000000000003,gaussian,3b8c073d9a9587b304a0230b2ad4cb5e,
temporal_weighted_window,0.011490410724896344,0.0,0.0,0.006894246434937806,0.55,0.65,0.09999999999999998,gaussian,8281a4c21e4612c42dcd7c597f4c7789,
temporal_weighted_window,0.011488023613556058,4.353479012995365e-14,0.0,0.006892814168142342,0.3,1.0,0.7,cosine,3d8c533df156d73d689185f1066b8109,
temporal_window,0.011483555423269159,0.07301197393792962,6.04645969740261,1.2307844675220696,0.1,0.95,0.85,uniform,cb04835d9536a4ef0ec3a4f6ecaef6ed,
temporal_weighted_window,0.011425942975470062,5.076161739336678e-14,0.0,0.00685556578529219,0.15,0.9,0.75,cosine,f38d5a9e1128d436a5e8538a29de3a30,
temporal_window,0.01139948383838434,0.07055834740299659,3.7120609673799354,0.763363553259617,0.0,1.0,1.0,uniform,dec79148bc37e4a233520852ff76eb46,
uniform_full,0.01139948383838434,0.07055834740299659,3.7120609673799354,0.763363553259617,0.0,1.0,1.0,uniform,a1c6cc1a6cb3aa72b340d80e5c31e086,
temporal_weighted_window,0.011382732711646307,5.0825354134137315e-14,0.0,0.006829639626997949,0.05,1.0,0.95,cosine,29fe495f40e82752a25b503e867888ce,
temporal_weighted_window,0.011316269642167687,4.690794993187934e-14,0.0,0.006789761785309993,0.15,0.9,0.75,gaussian,59e327ccb890b0f1e5cb3ca7396704bb,
