rank,method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key
438,temporal_weighted_window,0.025024487822892,0.0999999992861465,0.0,0.0350146925509645,0.4,0.9,0.5,cosine,33febde545c973ec26c3bddfbff610ae
439,temporal_multi_window,0.0249972234215958,0.1010822691975095,0.0,0.0352147878924593,0.25,0.9,0.65,uniform,4d6c054489d9aff7181e9ef965592a1e
440,temporal_weighted_window,0.0247940183387803,0.0999999901313345,0.0,0.034876409029535,0.05,0.65,0.6,gaussian,d5ef1aeba11b685ee7a52a56b4316020
441,temporal_window,0.0246443619785539,0.0,0.0,0.0147866171871323,0.4,0.5,0.0999999999999999,uniform,9c0f62c0cc72665a6fa0dab04adaeb22
442,temporal_weighted_window,0.0246443619785539,0.0,0.0,0.0147866171871323,0.4,0.5,0.0999999999999999,triangular,760c95cd036921f01afa32252f4a586c
443,temporal_weighted_window,0.0246443619785539,0.0,0.0,0.0147866171871323,0.4,0.5,0.0999999999999999,cosine,4f7e812230d1f16c96d3e2dead95c231
444,temporal_window,0.0246287913937973,0.0,0.0,0.0147772748362783,0.1,0.2,0.1,uniform,ca9509342459b45eea2ae42a83ae8cff
445,temporal_weighted_window,0.0246287913937973,0.0,0.0,0.0147772748362783,0.1,0.2,0.1,gaussian,8d5b83c53644f0d9094486608dd5cb66
446,temporal_weighted_window,0.0246287913937973,0.0,0.0,0.0147772748362783,0.1,0.2,0.1,triangular,be5a2f07f12026c595a6b125daf42ade
447,temporal_weighted_window,0.0246287913937973,0.0,0.0,0.0147772748362783,0.1,0.2,0.1,cosine,8b6d0760768b84c3cd2db947ee483bbf
448,temporal_weighted_window,0.0245905474330879,0.0999999999574645,0.0,0.0347543284513456,0.0,0.95,0.95,cosine,41f1f07baf7e504eb1598fa182ab8b18
449,temporal_weighted_window,0.0244199778647194,0.0999999999479846,0.0,0.0346519867084286,0.25,0.9,0.65,triangular,5d03eddb0be8429617ae348614623103
450,temporal_multi_window,0.0243214228109145,0.1010366209129874,0.0,0.0348001778691462,0.2,0.85,0.6499999999999999,uniform,6f442e399aa81eddb0d4ce525872a87e
451,temporal_weighted_window,0.0242913515243223,0.0999999998496932,0.0,0.034574810884532,0.15,1.0,0.85,gaussian,5f30a972c1f9f1f0db6925016ba21b79
452,temporal_window,0.0242859797143773,0.031826799591092,0.0,0.0209369477468448,0.75,1.0,0.25,uniform,62474b3197627603c561a7a96327a50e
453,temporal_weighted_window,0.0242174254466752,0.0,0.0,0.0145304552680051,0.55,0.9,0.35,cosine,ef49eff2616a47a2ecd7919f72437e52
454,temporal_weighted_window,0.0241500906051862,0.0999999998299328,0.0,0.0344900543290983,0.3,0.8,0.5,gaussian,192eff62cedaeaf010b97bca2feeaec8
455,temporal_weighted_window,0.0240167035001039,0.0999999996910234,0.0,0.034410022038267,0.2,0.75,0.55,cosine,88481ccf2691c726c158a6a0b5175ede
456,temporal_window,0.0239212416644168,0.1011665060374086,0.0,0.0345860462061318,0.45,0.6,0.1499999999999999,uniform,54b0a7099dd0628797fbd1b64b4354f5
457,temporal_weighted_window,0.0238725191278455,8.258581746497553e-13,0.0,0.0143235114768724,0.5,0.9,0.4,gaussian,00e38328cc877b764ae7877e64544bea
458,temporal_window,0.0237399057060216,0.1023381108135201,223.4146925532094,44.7176500762282,0.2,0.7,0.4999999999999999,uniform,7ab8bee2c6d08d088251284456f7b8af
459,temporal_weighted_window,0.0237146044361796,0.0999999973702836,0.0,0.0342287621357645,0.0,0.7,0.7,gaussian,6772773462bb15d882c1e845fb450140
460,temporal_weighted_window,0.0234078030591173,0.0999999997648587,0.0,0.0340446817884421,0.3,0.75,0.45,triangular,791fcfafa7a48fff850e37c1fe437333
461,temporal_window,0.0233603230303916,0.090805656777395,0.0,0.032177325173714,0.15,0.35,0.1999999999999999,uniform,6d64abc47cc3a37844d2bab3baab5e01
462,temporal_weighted_window,0.0233523184729604,0.0999999998072937,0.0,0.034011391045235,0.15,0.75,0.6,cosine,2c393ac7d88cc91df235a982d548fcbe
463,temporal_weighted_window,0.023324998562749,0.0999999996688078,0.0,0.033994999071411,0.2,0.7,0.4999999999999999,cosine,5b554f10834676d3611a7ed2a9aeb2f8
464,temporal_weighted_window,0.0233126401457506,0.0999999996083179,0.0,0.0339875840091139,0.1,0.65,0.55,cosine,5f79ac009230a4e14a4ad620857dc38d
