model_name,method,camera,seed,phase,success,grasp_reached,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,language_mass,state_mass,suffix_mass,other_mass
random_corner_12k,random,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.42020925879478455,0.4238912761211395,0.13721252977848053,0.018686983734369278,0,0.0
uniform_corner_12k,uniform,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.36573082208633423,0.3255096971988678,0.1655542254447937,0.14320522546768188,0,2.9802322387695312e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.3397865891456604,0.2975853979587555,0.26344481110572815,0.09918319433927536,0,7.450580596923828e-09
uniform_corner_12k,uniform,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.41542550921440125,0.42196041345596313,0.14012397825717926,0.022490141913294792,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10044,initial,False,False,3,expert_cross,50,177,50,0.33458006381988525,0.29709649085998535,0.19118233025074005,0.17714111506938934,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10044,initial,False,False,7,expert_cross,50,177,50,0.34005460143089294,0.3067552447319031,0.25545868277549744,0.09773145616054535,0,1.4901161193847656e-08
zero_corner_12k,zero,"corner,gripperPOV",10044,initial,False,False,11,expert_cross,50,177,50,0.4123680889606476,0.4231938123703003,0.14564813673496246,0.018789971247315407,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.32983651757240295,0.35286158323287964,0.1697707176208496,0.1475311517715454,0,2.9802322387695312e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.36617276072502136,0.35959553718566895,0.22742795944213867,0.04680372774600983,0,1.4901161193847656e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.3918730616569519,0.4276823401451111,0.15629412233829498,0.024150438606739044,0,3.725290298461914e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.3218066990375519,0.34003502130508423,0.18254968523979187,0.15560859441757202,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.35022661089897156,0.3499302864074707,0.24820737540721893,0.05163569748401642,0,2.9802322387695312e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.3878522515296936,0.4308133125305176,0.16121062636375427,0.020123787224292755,0,2.2351741790771484e-08
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.32351893186569214,0.3422101140022278,0.18600337207317352,0.14826761186122894,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.35644108057022095,0.33408743143081665,0.2355850487947464,0.0738864615559578,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.4280175268650055,0.42796874046325684,0.12699997425079346,0.01701373979449272,0,1.862645149230957e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.3236154317855835,0.30904513597488403,0.20475435256958008,0.1625850349664688,0,4.470348358154297e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.34227320551872253,0.3169454038143158,0.24220149219036102,0.09857989847660065,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.41782698035240173,0.4153260886669159,0.14717943966388702,0.01966749131679535,0,0.0
random_corner_12k,random,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.3342551589012146,0.33924850821495056,0.17476648092269897,0.15172988176345825,0,0.0
random_corner_12k,random,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.3311367332935333,0.3349573612213135,0.24353627860546112,0.09036965668201447,0,0.0
random_corner_12k,random,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.41845616698265076,0.4321519732475281,0.13312582671642303,0.016266006976366043,0,2.60770320892334e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.346253365278244,0.3425948917865753,0.17151841521263123,0.13963325321674347,0,7.450580596923828e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.34366080164909363,0.32130223512649536,0.2460610568523407,0.0889759287238121,0,0.0
uniform_corner_12k,uniform,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.4114512503147125,0.4269116222858429,0.14147543907165527,0.020161684602499008,0,3.725290298461914e-09
zero_corner_12k,zero,"corner,gripperPOV",10045,initial,False,False,3,expert_cross,50,177,50,0.30634406208992004,0.3212214410305023,0.1971742808818817,0.17526021599769592,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10045,initial,False,False,7,expert_cross,50,177,50,0.3430761694908142,0.32290783524513245,0.24200114607810974,0.0920148491859436,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10045,initial,False,False,11,expert_cross,50,177,50,0.41108056902885437,0.43013104796409607,0.14164720475673676,0.017141105607151985,0,7.264316082000732e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.3472689986228943,0.3326479196548462,0.1701042503118515,0.14997878670692444,0,4.470348358154297e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.37625470757484436,0.33512207865715027,0.2413262128829956,0.047297049313783646,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.3838726878166199,0.413465291261673,0.17218151688575745,0.03048049844801426,0,5.587935447692871e-09
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.334830105304718,0.32868608832359314,0.18032653629779816,0.1561572253704071,0,4.470348358154297e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.3576027452945709,0.3306940793991089,0.25760552287101746,0.05409765616059303,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.385128915309906,0.419575572013855,0.17186571657657623,0.023429840803146362,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.335538387298584,0.33017873764038086,0.1852186918258667,0.14906421303749084,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.36054933071136475,0.31240296363830566,0.24813568592071533,0.07891204208135605,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.43148311972618103,0.41416120529174805,0.13423728942871094,0.020118311047554016,0,7.450580596923828e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.3349003791809082,0.30127444863319397,0.20089592039585114,0.1629292368888855,0,1.4901161193847656e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.34244877099990845,0.2993738055229187,0.254830539226532,0.10334690660238266,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.4196527600288391,0.40242716670036316,0.15482598543167114,0.023094113916158676,0,0.0
random_corner_12k,random,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.3503572940826416,0.32229194045066833,0.17352785170078278,0.15382292866706848,0,0.0
random_corner_12k,random,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.3352169692516327,0.314152330160141,0.2540421485900879,0.09658858925104141,0,0.0
random_corner_12k,random,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.41585132479667664,0.42521652579307556,0.13998529314994812,0.018946822732686996,0,3.3527612686157227e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.3595822751522064,0.32764458656311035,0.17061243951320648,0.14216068387031555,0,1.4901161193847656e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.34459489583969116,0.30000853538513184,0.2569747865200043,0.09842181205749512,0,0.0
uniform_corner_12k,uniform,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.41255947947502136,0.41820988059043884,0.14666540920734406,0.022565217688679695,0,1.30385160446167e-08
zero_corner_12k,zero,"corner,gripperPOV",10046,initial,False,False,3,expert_cross,50,177,50,0.32213857769966125,0.30546802282333374,0.19555935263633728,0.17683398723602295,0,5.960464477539063e-08
zero_corner_12k,zero,"corner,gripperPOV",10046,initial,False,False,7,expert_cross,50,177,50,0.34533315896987915,0.305910587310791,0.25195568799972534,0.0968005582690239,0,7.450580596923828e-09
zero_corner_12k,zero,"corner,gripperPOV",10046,initial,False,False,11,expert_cross,50,177,50,0.4118119180202484,0.42106592655181885,0.14765964448451996,0.019462531432509422,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.3500745892524719,0.32929375767707825,0.17025883495807648,0.15037281811237335,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.37122854590415955,0.33133426308631897,0.24799354374408722,0.0494435615837574,0,8.568167686462402e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.382237046957016,0.4170544445514679,0.1697664111852646,0.030942082405090332,0,1.4901161193847656e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.34367692470550537,0.32620498538017273,0.17542216181755066,0.15469594299793243,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.35465678572654724,0.32768407464027405,0.2620389759540558,0.05562012270092964,0,4.0978193283081055e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.38609302043914795,0.4236133098602295,0.16741114854812622,0.02288246713578701,0,5.4016709327697754e-08
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.3423263728618622,0.3255801498889923,0.1821911782026291,0.1499023288488388,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.3571726977825165,0.3116343319416046,0.2513926923274994,0.07980024814605713,0,2.9802322387695312e-08
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.43123695254325867,0.4191932678222656,0.13072122633457184,0.018848540261387825,0,1.30385160446167e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.3284928798675537,0.30683478713035583,0.20100679993629456,0.1636655181646347,0,1.4901161193847656e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.3413647413253784,0.2981920540332794,0.2588030993938446,0.10164011269807816,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.4201847016811371,0.40885505080223083,0.14952321350574493,0.021436985582113266,0,4.842877388000488e-08
random_corner_12k,random,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.3556484282016754,0.31950923800468445,0.17038051784038544,0.1544618457555771,0,0.0
random_corner_12k,random,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.3331158459186554,0.31540143489837646,0.2543677091598511,0.09711501002311707,0,0.0
random_corner_12k,random,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.4190919101238251,0.42744970321655273,0.13532844185829163,0.018129928037524223,0,1.6763806343078613e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.3672449588775635,0.32715582847595215,0.16341468691825867,0.14218451082706451,0,1.4901161193847656e-08
uniform_corner_12k,uniform,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.33846375346183777,0.2988235354423523,0.2674746811389923,0.09523804485797882,0,0.0
uniform_corner_12k,uniform,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.41381344199180603,0.4225201904773712,0.14141005277633667,0.022256337106227875,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10047,initial,False,False,3,expert_cross,50,177,50,0.33343854546546936,0.3017105758190155,0.18864712119102478,0.17620377242565155,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10047,initial,False,False,7,expert_cross,50,177,50,0.3397965133190155,0.30745115876197815,0.2584506571292877,0.09430169314146042,0,0.0
zero_corner_12k,zero,"corner,gripperPOV",10047,initial,False,False,11,expert_cross,50,177,50,0.4117368459701538,0.4249298870563507,0.14459070563316345,0.018742546439170837,0,1.4901161193847656e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10048,initial,False,False,3,expert_cross,50,177,50,0.3462378680706024,0.333996057510376,0.1696384698152542,0.1501275897026062,0,1.4901161193847656e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10048,initial,False,False,7,expert_cross,50,177,50,0.3745254576206207,0.3431757688522339,0.23601491749286652,0.046283818781375885,0,3.725290298461914e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10048,initial,False,False,11,expert_cross,50,177,50,0.388683021068573,0.4178946018218994,0.16505314409732819,0.028369221836328506,0,1.1175870895385742e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10048,initial,False,False,3,expert_cross,50,177,50,0.33972638845443726,0.3285457491874695,0.17688417434692383,0.15484370291233063,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10048,initial,False,False,7,expert_cross,50,177,50,0.3578855097293854,0.33888325095176697,0.2521217465400696,0.05110948160290718,0,1.1175870895385742e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10048,initial,False,False,11,expert_cross,50,177,50,0.3888632357120514,0.4235997796058655,0.16596727073192596,0.021569762378931046,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10048,initial,False,False,3,expert_cross,50,177,50,0.33811891078948975,0.32961830496788025,0.18392816185951233,0.14833465218544006,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10048,initial,False,False,7,expert_cross,50,177,50,0.36117205023765564,0.3213884234428406,0.2417043298482895,0.0757351890206337,0,7.450580596923828e-09
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10048,initial,False,False,11,expert_cross,50,177,50,0.43299373984336853,0.4191203713417053,0.12970447540283203,0.018181435763835907,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10048,initial,False,False,3,expert_cross,50,177,50,0.33446139097213745,0.30224162340164185,0.20086102187633514,0.16243594884872437,0,1.4901161193847656e-08
